Questions,Responses,Class
Want to know my account information,You can get it by using your phone number linked to the bank or using your credit/debit card.,Account Enquiry
Want to know my account details,You can get it by using your phone number linked to the bank or using your credit/debit card.,Account Enquiry
Account Details,You can get it by using your phone number linked to the bank or using your credit/debit card.,Account Enquiry
Have to know my account information,You can get it by using your phone number linked to the bank or using your credit/debit card.,Account Enquiry
Need to know my account details,You can get it by using your phone number linked to the bank or using your credit/debit card.,Account Enquiry
Account Information,You can get it by using your phone number linked to the bank or using your credit/debit card.,Account Enquiry
Need my account details,You can get it by using your phone number linked to the bank or using your credit/debit card.,Account Enquiry
Have to know my account details,You can get it by using your phone number linked to the bank or using your credit/debit card.,Account Enquiry
Need to know my account information,You can get it by using your phone number linked to the bank or using your credit/debit card.,Account Enquiry
,,
Hi,I am a banking assistant..How can I help you?,General
Hello,I am a banking assistant..How can I help you?,General
How are you?,I am fine…How can I help you?,General
How are you doing?,I am fine…How can I help you?,General
What are you doing?,I am a banking assistant..How can I help you?,General
what about you?,I am fine…How can I help you?,General
Who are you?,I am a banking assistant..How can I help you?,General
need some help,I am a banking assistant..How can I help you?,General
Need assistance,I am a banking assistant..How can I help you?,General
have a query,I am a banking assistant..How can I help you?,General
query,I am a banking assistant..How can I help you?,General
problem,I am a banking assistant..How can I help you?,General
need to solve a problem,I am a banking assistant..How can I help you?,General
solve a problem,I am a banking assistant..How can I help you?,General
,,
f..k,Please withdraw your inconvenient words..How can I help you?,General
sh..t,Please withdraw your inconvenient words..How can I help you?,General
fuck,Please withdraw your inconvenient words..How can I help you?,General
shit,Please withdraw your inconvenient words..How can I help you?,General
What the fuck are you?,Please withdraw your inconvenient words..How can I help you?,General
Bullshit,Please withdraw your inconvenient words..How can I help you?,General
what shit are you?,Please withdraw your inconvenient words..How can I help you?,General
what the shit!,Please withdraw your inconvenient words..How can I help you?,General
Shit!,Please withdraw your inconvenient words..How can I help you?,General
What the heck?,Please withdraw your inconvenient words..How can I help you?,General
What the hell?,Please withdraw your inconvenient words..How can I help you?,General
heck,Please withdraw your inconvenient words..How can I help you?,General
hell,Please withdraw your inconvenient words..How can I help you?,General
